segment_id,avg_signal,min_signal,provider_best_signal,provider_redundancy_score,dead_zone_flag,risk_score,handover_risk,safe_flag,estimated_bandwidth_mbps
S00422,67.38,66.48,68.94,118.99,0,0.154,0.05,1,65.99
S00423,67.83,66.37,70.45,120.44,0,0.152,0.05,1,67.21
S00424,68.02,66.37,71.04,121.03,0,0.151,0.05,1,67.7
S00425,67.87,66.46,70.45,120.48,0,0.152,0.05,1,67.25
S00426,68.03,66.01,71.72,121.49,0,0.151,0.05,1,68.07
S00428,68.16,66.22,71.72,121.62,0,0.151,0.05,1,68.2
S00429,63.21,61.22,64.36,112.39,0,0.173,0.05,1,59.73
S00430,60.99,60.75,61.13,109.87,0,0.195,0.05,1,56.1
S00431,63.35,61.5,64.42,112.51,0,0.172,0.05,1,59.89
S00432,63.21,61.22,64.36,112.39,0,0.173,0.05,1,59.73
S00433,62.1,60.72,62.94,109.92,0,0.178,0.05,1,58.0
S00434,62.0,60.46,62.93,109.88,0,0.179,0.05,1,57.9
S00435,64.88,64.42,65.55,114.04,0,0.166,0.05,1,61.89
S00436,64.9,64.42,65.62,114.1,0,0.165,0.05,1,61.94
S00437,64.88,64.42,65.55,114.04,0,0.166,0.05,1,61.89
S00438,62.06,60.66,62.92,109.87,0,0.178,0.05,1,57.95
S00439,64.33,63.61,65.55,113.43,0,0.168,0.05,1,61.37
S00440,65.56,63.52,69.41,117.22,0,0.162,0.05,1,64.49
S00441,65.3,65.07,65.54,114.51,0,0.164,0.05,1,62.27
S00442,65.38,65.09,65.75,114.72,0,0.163,0.05,1,62.46
S00443,65.55,65.14,66.17,115.17,0,0.163,0.05,1,62.83
S00444,67.21,65.68,70.15,119.51,0,0.155,0.05,1,66.46
S00445,67.64,66.33,70.24,120.01,0,0.153,0.05,1,66.92
S00446,65.6,64.8,66.1,115.52,0,0.162,0.05,1,62.84
S00447,64.69,63.97,65.19,113.87,0,0.166,0.05,1,61.53
S00448,65.35,65.18,65.47,114.52,0,0.163,0.05,1,62.29
S00449,65.11,64.91,65.21,114.11,0,0.165,0.05,1,61.93
S00450,66.0,65.46,66.78,116.1,0,0.161,0.05,1,63.57
S00451,65.35,65.18,65.47,114.52,0,0.163,0.05,1,62.29
S00452,66.12,65.51,67.04,116.39,0,0.16,0.05,1,63.81
S00453,66.0,65.46,66.78,116.1,0,0.161,0.05,1,63.57
S00454,66.13,65.46,67.17,116.48,0,0.16,0.05,1,63.89
S00455,67.44,66.01,69.99,119.73,0,0.154,0.05,1,66.6
S00456,67.06,65.82,69.23,118.82,0,0.156,0.05,1,65.84
S00457,67.08,65.99,69.0,118.69,0,0.156,0.05,1,65.74
S00458,66.98,65.82,69.0,118.59,0,0.156,0.05,1,65.64
S00459,67.93,66.22,71.04,120.94,0,0.152,0.05,1,67.62
S00460,67.44,66.01,69.99,119.73,0,0.154,0.05,1,66.6
S00461,67.64,66.01,70.58,120.33,0,0.153,0.05,1,67.1
S00462,67.53,66.16,69.99,119.82,0,0.154,0.05,1,66.68
S00463,67.93,66.22,71.04,120.94,0,0.152,0.05,1,67.62
S00464,68.02,66.37,71.04,121.03,0,0.151,0.05,1,67.7
S00465,68.16,66.22,71.72,121.62,0,0.151,0.05,1,68.2
S00466,65.47,65.39,65.63,114.68,0,0.163,0.05,1,62.48
S00467,66.03,65.73,66.38,115.86,0,0.16,0.05,1,63.39
S00468,65.17,64.43,65.66,114.73,0,0.164,0.05,1,62.21
S00469,65.79,65.57,66.02,115.36,0,0.161,0.05,1,62.98
S00470,65.49,65.32,65.68,114.79,0,0.163,0.05,1,62.52
S00471,65.46,65.23,65.68,114.79,0,0.163,0.05,1,62.5
S00472,67.35,67.15,67.72,118.1,0,0.154,0.05,1,65.34
S00473,67.29,67.08,67.72,118.03,0,0.155,0.05,1,65.28
S00474,66.93,66.9,66.97,117.17,0,0.156,0.05,1,64.55
S00475,67.1,66.9,67.23,117.61,0,0.156,0.05,1,64.84
S00476,69.05,67.16,72.73,123.17,0,0.147,0.05,1,69.6
S00477,67.42,67.16,67.86,118.3,0,0.154,0.05,1,65.47
S00478,67.35,67.3,67.41,117.91,0,0.154,0.05,1,65.18
S00479,69.2,65.11,77.3,126.2,0,0.146,0.05,1,72.17
S00480,68.81,65.11,76.12,125.02,0,0.148,0.05,1,71.15
S00481,69.01,65.41,76.12,125.24,0,0.147,0.05,1,71.35
S00482,69.62,65.11,78.56,127.45,0,0.144,0.05,1,73.26
S00483,68.83,65.11,76.19,125.08,0,0.148,0.05,1,71.21
S00484,68.58,65.22,75.31,124.22,0,0.149,0.05,1,70.5
S00485,68.44,65.22,74.89,123.81,0,0.15,0.05,1,70.14
S00486,68.8,65.78,74.82,124.17,0,0.148,0.05,1,70.45
S00487,68.81,65.78,74.84,124.19,0,0.148,0.05,1,70.48
S00488,68.41,66.23,72.74,122.45,0,0.15,0.05,1,68.97
S00489,68.86,65.95,74.61,124.14,0,0.148,0.05,1,70.4
S00490,68.63,65.44,74.92,124.06,0,0.149,0.05,1,70.34
S00491,68.61,65.41,74.93,124.05,0,0.149,0.05,1,70.33
S00492,68.39,65.14,74.89,123.74,0,0.15,0.05,1,70.09
S00493,67.42,64.97,72.26,121.04,0,0.154,0.05,1,67.76
S00494,67.76,64.97,73.25,122.04,0,0.153,0.05,1,68.61
S00495,69.62,65.11,78.56,127.45,0,0.144,0.05,1,73.26
S00496,69.24,64.55,78.56,127.02,0,0.146,0.05,1,72.88
S00497,68.55,65.14,75.38,124.23,0,0.149,0.05,1,70.51
S00498,68.55,65.13,75.38,124.24,0,0.149,0.05,1,70.51
S00499,67.27,63.97,73.79,121.82,0,0.155,0.05,1,68.41
S00500,54.05,51.41,59.26,107.29,0,0.236,0.05,1,49.07
S00501,67.25,63.97,73.75,121.78,0,0.155,0.05,1,68.37
S00502,52.7,50.33,57.39,104.42,0,0.242,0.05,1,47.05
S00503,52.79,50.4,57.51,104.61,0,0.242,0.05,1,47.18
S00504,52.96,50.62,57.51,104.89,0,0.241,0.05,1,47.33
S00505,67.56,67.06,68.57,118.87,0,0.153,0.05,1,65.98
S00506,67.56,67.06,68.57,118.87,0,0.153,0.05,1,65.98
S00507,66.99,64.04,68.68,119.87,0,0.156,0.05,1,65.49
S00508,67.04,64.31,68.59,119.76,0,0.156,0.05,1,65.49
S00509,66.84,64.03,68.35,119.46,0,0.157,0.05,1,65.17
S00510,64.82,64.43,65.13,113.8,0,0.166,0.05,1,61.62
S00511,65.22,64.94,65.54,114.42,0,0.164,0.05,1,62.2
S00512,64.94,64.43,65.32,114.13,0,0.165,0.05,1,61.83
S00513,64.94,64.43,65.32,114.13,0,0.165,0.05,1,61.83
S00514,63.89,63.45,64.26,112.23,0,0.17,0.05,1,60.31
S00515,63.46,62.14,64.27,112.24,0,0.172,0.05,1,59.92
S00516,63.46,62.14,64.26,112.23,0,0.172,0.05,1,59.91
S00517,63.35,61.5,64.42,112.51,0,0.172,0.05,1,59.89
S00518,64.41,63.24,65.13,113.78,0,0.168,0.05,1,61.23
S00519,62.93,60.95,64.08,111.89,0,0.174,0.05,1,59.33
S00520,62.93,61.0,64.06,111.86,0,0.174,0.05,1,59.32
S00521,62.91,60.95,64.06,111.86,0,0.174,0.05,1,59.3
S00522,67.89,66.76,69.92,120.16,0,0.152,0.05,1,66.99
S00523,67.86,66.71,69.92,120.14,0,0.152,0.05,1,66.97
S00524,65.8,65.57,66.03,115.39,0,0.161,0.05,1,63.0
S00525,66.16,66.0,66.26,115.93,0,0.16,0.05,1,63.45
S00526,65.79,65.57,66.02,115.36,0,0.161,0.05,1,62.98
S00527,66.62,66.25,67.11,116.97,0,0.158,0.05,1,64.32
S00528,66.35,66.11,66.61,116.37,0,0.159,0.05,1,63.81
S00529,66.76,66.11,67.84,117.59,0,0.157,0.05,1,64.83
S00530,66.38,66.17,66.61,116.38,0,0.159,0.05,1,63.84
S00531,66.27,65.82,66.91,116.46,0,0.159,0.05,1,63.89
S00532,66.06,65.79,66.38,115.89,0,0.16,0.05,1,63.42
S00533,66.03,65.73,66.38,115.86,0,0.16,0.05,1,63.39
S00534,66.72,65.99,67.93,117.62,0,0.157,0.05,1,64.84
S00535,67.08,65.99,69.0,118.69,0,0.156,0.05,1,65.74
S00536,67.16,66.13,68.97,118.77,0,0.155,0.05,1,65.8
S00537,67.83,66.37,70.45,120.44,0,0.152,0.05,1,67.21
S00538,67.3,66.16,69.3,119.13,0,0.155,0.05,1,66.1
S00539,67.53,66.16,69.99,119.82,0,0.154,0.05,1,66.68
S00540,65.88,65.11,66.36,115.98,0,0.161,0.05,1,63.24
S00541,66.38,66.17,66.61,116.38,0,0.159,0.05,1,63.84
S00552,62.2,61.23,63.8,112.92,0,0.19,0.05,1,58.52
S00553,62.32,61.4,63.85,113.09,0,0.189,0.05,1,58.65
S00554,66.53,65.41,68.42,117.73,0,0.158,0.05,1,64.91
S00555,66.3,65.32,67.92,117.17,0,0.159,0.05,1,64.44
S00556,62.32,61.4,63.85,113.09,0,0.189,0.05,1,58.65
S00557,62.26,61.31,63.84,113.02,0,0.189,0.05,1,58.59
S00558,62.5,61.4,64.36,113.62,0,0.188,0.05,1,59.07
S00559,62.5,61.4,64.37,113.63,0,0.188,0.05,1,59.08
S00560,62.55,61.49,64.36,113.68,0,0.188,0.05,1,59.12
S00561,62.5,61.4,64.36,113.62,0,0.188,0.05,1,59.07
S00564,67.06,65.82,69.23,118.82,0,0.156,0.05,1,65.84
S00565,67.03,65.77,69.23,118.79,0,0.156,0.05,1,65.81
S00566,67.17,65.77,69.65,119.22,0,0.155,0.05,1,66.16
S00567,67.64,66.01,70.58,120.33,0,0.153,0.05,1,67.1
S00568,67.61,65.84,70.8,120.44,0,0.153,0.05,1,67.18
S00569,67.51,65.81,70.58,120.2,0,0.154,0.05,1,66.97
S00570,65.24,64.6,65.68,114.77,0,0.164,0.05,1,62.29
S00571,65.64,65.07,66.03,115.39,0,0.162,0.05,1,62.84
S00572,65.64,65.07,66.03,115.39,0,0.162,0.05,1,62.84
S00573,65.66,65.07,66.05,115.44,0,0.162,0.05,1,62.87
S00574,66.04,65.3,67.21,116.42,0,0.16,0.05,1,63.82
S00575,66.03,65.28,67.21,116.41,0,0.16,0.05,1,63.81
S00576,66.3,65.32,67.92,117.17,0,0.159,0.05,1,64.44
S01431,62.73,62.12,63.69,110.46,0,0.175,0.05,1,58.95
S01432,63.05,62.37,64.17,111.12,0,0.174,0.05,1,59.49
S01433,62.73,62.12,63.69,110.46,0,0.175,0.05,1,58.95
S01434,62.82,62.14,63.94,110.72,0,0.175,0.05,1,59.16
S01435,62.18,61.34,63.65,109.81,0,0.178,0.05,1,58.43
S01436,62.15,61.31,63.65,109.78,0,0.178,0.05,1,58.4
S01437,61.22,60.82,61.81,107.58,0,0.182,0.05,1,56.64
S01438,62.65,60.37,63.99,111.7,0,0.176,0.05,1,59.03
S01441,67.78,63.14,71.88,123.13,0,0.152,0.05,1,67.91
S01442,67.74,63.14,71.46,122.92,0,0.153,0.05,1,67.65
S01443,68.65,63.69,71.33,124.53,0,0.149,0.05,1,68.47
S01444,65.54,63.96,67.39,116.34,0,0.163,0.05,1,63.44
S01445,65.37,63.62,67.13,116.15,0,0.163,0.05,1,63.15
S01446,65.36,63.62,67.19,116.14,0,0.163,0.05,1,63.17
S01447,65.49,59.8,68.58,119.64,0,0.163,0.05,1,64.0
S01448,65.54,59.97,68.58,119.64,0,0.163,0.05,1,64.05
S01449,65.49,59.8,68.58,119.65,0,0.163,0.05,1,64.0
S01452,41.7,38.17,46.12,94.02,0,0.314,0.05,0,33.38
S01453,41.69,38.34,46.12,93.78,0,0.314,0.05,0,33.37
S01480,56.24,51.57,58.73,102.55,0,0.204,0.05,1,50.72
S01481,56.23,51.74,58.63,102.38,0,0.204,0.05,1,50.67
S01566,57.94,54.95,59.58,104.05,0,0.197,0.05,1,52.62
S01567,58.18,55.55,59.64,104.16,0,0.196,0.05,1,52.86
S01568,58.18,55.55,59.64,104.16,0,0.196,0.05,1,52.86
S01569,58.48,56.27,59.71,104.3,0,0.194,0.05,1,53.16
S01570,58.8,56.79,59.94,104.7,0,0.193,0.05,1,53.56
S01571,60.49,60.31,60.69,106.04,0,0.185,0.05,1,55.43
S01572,65.71,61.68,69.57,118.98,0,0.162,0.05,1,64.72
S01573,65.79,61.76,69.87,119.16,0,0.161,0.05,1,64.95
S01574,53.28,50.42,58.27,106.01,0,0.24,0.05,1,47.95
S01575,70.17,63.99,78.17,129.45,0,0.142,0.05,1,73.6
S01576,69.22,63.99,78.17,127.3,0,0.146,0.05,1,72.66
S01741,57.81,53.13,60.34,105.31,0,0.197,0.05,1,52.87
S01742,58.09,54.01,60.31,105.28,0,0.196,0.05,1,53.1
S01744,58.09,54.01,60.31,105.28,0,0.196,0.05,1,53.1
S01745,58.09,54.01,60.31,105.28,0,0.196,0.05,1,53.1
S01746,58.11,53.55,60.57,105.72,0,0.196,0.05,1,53.24
S01748,55.36,49.26,58.59,102.26,0,0.208,0.05,0,49.89
S01749,55.57,49.57,58.76,102.55,0,0.207,0.05,0,50.15
S01750,55.45,49.26,58.59,102.47,0,0.208,0.05,0,49.97
S01755,56.33,51.56,58.88,102.79,0,0.204,0.05,1,50.87
S01756,56.33,51.56,58.88,102.79,0,0.204,0.05,1,50.87
S01766,55.88,49.07,60.24,103.99,0,0.206,0.05,0,51.12
S01767,56.06,50.23,59.16,103.25,0,0.205,0.05,1,50.77
S01768,56.06,50.23,59.16,103.25,0,0.205,0.05,1,50.77
S01771,55.89,49.06,60.27,104.03,0,0.206,0.05,0,51.14
S01772,55.42,49.18,58.57,102.45,0,0.208,0.05,0,49.93
S01773,55.36,49.26,58.59,102.26,0,0.208,0.05,0,49.89
S01774,55.56,49.18,58.98,102.86,0,0.207,0.05,0,50.25
S01775,55.79,49.62,59.07,103.08,0,0.206,0.05,0,50.49
S01777,55.79,49.62,59.07,103.08,0,0.206,0.05,0,50.49
S01781,55.48,49.1,58.94,102.74,0,0.208,0.05,0,50.16
S01782,55.42,49.18,58.57,102.45,0,0.208,0.05,0,49.93
S01783,55.62,49.1,59.36,103.16,0,0.207,0.05,0,50.48
S01784,55.68,49.52,58.95,102.88,0,0.207,0.05,0,50.34
S01785,55.68,49.52,58.95,102.88,0,0.207,0.05,0,50.34
S01789,55.67,48.89,59.94,103.56,0,0.207,0.05,0,50.79
S01797,55.67,48.89,59.94,103.56,0,0.207,0.05,0,50.79
S01803,55.5,49.08,59.05,102.81,0,0.208,0.05,0,50.23
S01804,55.52,49.12,59.05,102.85,0,0.208,0.05,0,50.24
S01805,55.88,49.07,60.24,103.99,0,0.206,0.05,0,51.12
S01806,56.23,50.16,59.97,103.9,0,0.204,0.05,1,51.3
S01810,56.36,51.46,58.98,102.97,0,0.204,0.05,1,50.95
S01811,56.12,51.01,58.84,102.72,0,0.205,0.05,1,50.67
S01812,56.12,51.01,58.84,102.72,0,0.205,0.05,1,50.67
S01813,56.21,51.24,58.86,102.75,0,0.205,0.05,1,50.76
S01814,56.41,51.54,59.0,103.01,0,0.204,0.05,1,51.0
S01815,56.36,51.46,58.98,102.97,0,0.204,0.05,1,50.95
S01816,56.36,51.46,58.98,102.97,0,0.204,0.05,1,50.95
S01817,57.51,53.81,59.51,103.92,0,0.199,0.05,1,52.21
S01818,57.51,53.81,59.52,103.93,0,0.199,0.05,1,52.21
S01819,56.54,51.95,58.99,103.0,0,0.203,0.05,1,51.11
S01820,56.54,51.95,59.0,103.01,0,0.203,0.05,1,51.11
S01821,57.28,53.12,59.53,103.93,0,0.2,0.05,1,52.01
S01822,57.28,53.12,59.53,103.93,0,0.2,0.05,1,52.01
S01823,56.24,51.1,58.98,102.95,0,0.204,0.05,1,50.84
S01824,56.36,51.46,58.98,102.97,0,0.204,0.05,1,50.95
S01825,56.68,51.94,59.21,103.36,0,0.202,0.05,1,51.33
S01826,56.24,51.1,58.98,102.95,0,0.204,0.05,1,50.84
S01974,62.0,60.46,62.93,109.88,0,0.179,0.05,1,57.9
S01975,60.68,57.26,62.57,109.22,0,0.184,0.05,1,56.52
S01976,60.81,59.08,61.84,107.98,0,0.184,0.05,1,56.28
S01977,60.81,59.08,61.84,107.98,0,0.184,0.05,1,56.28
S01978,61.06,59.39,62.05,108.35,0,0.183,0.05,1,56.61
S01979,61.06,59.39,62.05,108.35,0,0.183,0.05,1,56.61
S01980,61.76,60.14,62.73,109.54,0,0.18,0.05,1,57.59
S01981,61.76,60.14,62.73,109.54,0,0.18,0.05,1,57.59
S01985,61.53,59.87,62.52,109.17,0,0.181,0.05,1,57.27
S01986,61.53,59.87,62.52,109.17,0,0.181,0.05,1,57.27
S02710,72.11,69.14,73.89,128.86,0,0.133,0.05,1,73.24
S02711,72.78,69.76,74.47,130.06,0,0.13,0.05,1,74.22
S02859,70.06,68.45,72.93,124.52,0,0.142,0.05,1,70.69
S02860,70.03,68.48,72.8,124.41,0,0.142,0.05,1,70.59
S02861,70.09,68.56,72.8,124.48,0,0.142,0.05,1,70.65
S02862,69.93,68.82,71.79,123.67,0,0.143,0.05,1,69.96
S02863,69.84,68.84,71.52,123.4,0,0.143,0.05,1,69.73
S02864,69.92,68.95,71.52,123.49,0,0.143,0.05,1,69.81
S02865,70.17,68.82,72.54,124.42,0,0.142,0.05,1,70.59
S02866,70.09,65.85,72.61,126.46,0,0.142,0.05,1,70.55
S02867,70.03,65.78,72.53,126.35,0,0.142,0.05,1,70.45
S02868,71.89,68.89,73.69,128.51,0,0.134,0.05,1,72.91
S02871,57.4,53.77,59.37,103.67,0,0.199,0.05,1,52.04
S02872,57.48,54.0,59.37,103.67,0,0.199,0.05,1,52.11
S02873,57.69,54.43,59.46,103.84,0,0.198,0.05,1,52.34
S02874,57.4,53.77,59.37,103.67,0,0.199,0.05,1,52.04
S02882,57.56,54.23,59.37,103.68,0,0.198,0.05,1,52.18
S02883,57.64,54.37,59.41,103.76,0,0.198,0.05,1,52.27
S02884,57.56,54.23,59.37,103.68,0,0.198,0.05,1,52.18
S02885,57.24,53.62,59.19,103.37,0,0.2,0.05,1,51.82
S02886,57.41,53.95,59.29,103.54,0,0.199,0.05,1,52.01
S02887,57.39,54.03,59.21,103.41,0,0.199,0.05,1,51.96
S02888,57.14,53.44,59.14,103.28,0,0.2,0.05,1,51.71
S02889,57.24,53.62,59.19,103.37,0,0.2,0.05,1,51.82
S02890,57.14,53.44,59.14,103.28,0,0.2,0.05,1,51.71
S02891,56.9,52.98,59.01,103.04,0,0.201,0.05,1,51.43
S02892,57.14,53.44,59.14,103.28,0,0.2,0.05,1,51.71
S02893,56.9,52.98,59.01,103.04,0,0.201,0.05,1,51.43
S02894,56.63,52.47,58.86,102.78,0,0.203,0.05,1,51.13
S02895,56.9,52.98,59.01,103.04,0,0.201,0.05,1,51.43
S02896,56.63,52.47,58.86,102.78,0,0.203,0.05,1,51.13
S02897,56.46,52.15,58.76,102.61,0,0.203,0.05,1,50.93
S02898,56.63,52.47,58.86,102.78,0,0.203,0.05,1,51.13
S02899,56.63,52.6,58.79,102.66,0,0.203,0.05,1,51.09
S02900,56.46,52.15,58.76,102.61,0,0.203,0.05,1,50.93
S02901,56.23,51.74,58.63,102.38,0,0.204,0.05,1,50.67
S02902,56.36,51.96,58.7,102.5,0,0.204,0.05,1,50.81
S02903,56.38,52.12,58.65,102.43,0,0.204,0.05,1,50.81
S02904,56.23,51.74,58.63,102.38,0,0.204,0.05,1,50.67
S02905,56.07,51.33,58.5,102.28,0,0.205,0.05,1,50.47
S02906,56.23,51.74,58.63,102.38,0,0.204,0.05,1,50.67
S02907,56.03,51.33,58.5,102.2,0,0.205,0.05,1,50.43
S02908,56.14,51.65,58.52,102.2,0,0.205,0.05,1,50.54
S02909,56.03,50.92,58.8,102.58,0,0.205,0.05,1,50.57
S02910,55.97,51.01,58.48,102.29,0,0.206,0.05,1,50.37
S02911,56.05,50.92,58.85,102.64,0,0.205,0.05,1,50.61
S02941,59.22,57.7,61.07,105.24,0,0.191,0.05,1,54.48
S02942,58.29,54.9,61.84,105.44,0,0.195,0.05,1,54.01
S02944,59.27,57.82,61.05,105.25,0,0.191,0.05,1,54.51
S02945,59.22,57.7,61.07,105.24,0,0.191,0.05,1,54.48
S02946,60.78,59.29,63.42,108.15,0,0.184,0.05,1,57.03
S02947,64.13,60.33,68.69,116.21,0,0.169,0.05,1,62.77
S02948,64.43,60.46,69.05,116.88,0,0.168,0.05,1,63.24
S02949,67.03,61.57,74.1,123.16,0,0.156,0.05,1,68.34
S02950,67.97,62.6,72.7,124.15,0,0.152,0.05,1,68.52
S02951,67.47,65.43,70.96,120.48,0,0.154,0.05,1,67.13
S02952,67.59,65.1,70.96,120.99,0,0.153,0.05,1,67.25
S02953,67.74,65.43,72.13,121.37,0,0.153,0.05,1,68.0
S02954,67.54,65.97,70.44,120.09,0,0.154,0.05,1,66.93
S02955,68.07,65.95,72.13,121.74,0,0.151,0.05,1,68.32
S03054,67.29,66.03,67.99,118.88,0,0.155,0.05,1,65.42
S03055,67.36,66.23,67.99,118.88,0,0.154,0.05,1,65.48
S03056,67.51,62.43,70.37,122.67,0,0.154,0.05,1,66.86
S03057,67.59,62.43,70.31,122.83,0,0.153,0.05,1,66.91
S03058,67.03,61.57,74.1,123.16,0,0.156,0.05,1,68.34
S03059,66.76,61.57,74.61,122.69,0,0.157,0.05,1,68.35
S03060,67.28,61.96,74.59,123.54,0,0.155,0.05,1,68.84
S03063,66.87,61.13,77.02,123.86,0,0.157,0.05,1,69.72
S04096,60.8,60.64,60.88,106.53,0,0.184,0.05,1,55.81
S04097,60.8,60.64,60.88,106.53,0,0.184,0.05,1,55.81
S04123,64.86,61.72,69.34,116.97,0,0.166,0.05,1,63.79
S04124,61.43,61.33,61.58,107.62,0,0.181,0.05,1,56.72
S04125,61.19,60.98,61.43,107.3,0,0.182,0.05,1,56.43
S04126,61.19,60.98,61.43,107.3,0,0.182,0.05,1,56.43
S04127,61.58,61.3,61.9,108.05,0,0.18,0.05,1,57.01
S04128,61.37,61.2,61.46,107.55,0,0.181,0.05,1,56.61
S04129,60.56,60.48,60.7,106.08,0,0.185,0.05,1,55.5
S04130,60.49,60.31,60.69,106.04,0,0.185,0.05,1,55.43
S04131,61.25,60.77,62.01,107.74,0,0.182,0.05,1,56.77
S04132,60.31,58.49,61.37,107.17,0,0.186,0.05,1,55.6
S04133,60.29,58.47,61.35,107.13,0,0.186,0.05,1,55.57
S04156,66.88,66.58,67.2,117.35,0,0.157,0.05,1,64.62
S04157,66.46,65.92,66.89,116.82,0,0.158,0.05,1,64.06
S04158,67.03,66.58,67.65,117.8,0,0.156,0.05,1,64.99
S04159,67.34,66.57,68.65,118.75,0,0.154,0.05,1,65.81
S04160,66.99,65.43,68.93,118.89,0,0.156,0.05,1,65.61
S04161,67.24,65.44,70.44,119.82,0,0.155,0.05,1,66.64
S04162,66.4,65.32,67.57,117.31,0,0.159,0.05,1,64.35
S04163,67.24,65.13,68.93,119.67,0,0.155,0.05,1,65.85
S04164,65.93,65.41,66.81,116.0,0,0.161,0.05,1,63.52
S04165,66.4,65.32,67.57,117.31,0,0.159,0.05,1,64.35
S04166,65.96,65.33,66.97,116.16,0,0.161,0.05,1,63.63
S04167,67.44,64.78,68.94,120.39,0,0.154,0.05,1,66.05
S04168,67.58,64.99,69.05,120.57,0,0.153,0.05,1,66.24
S04169,66.56,62.71,68.68,119.89,0,0.158,0.05,1,65.07
S04170,65.59,60.62,68.28,119.18,0,0.162,0.05,1,63.94
S04171,66.19,61.99,68.49,119.57,0,0.16,0.05,1,64.62
S04172,67.1,63.27,69.24,120.83,0,0.156,0.05,1,65.88
S04173,67.52,64.33,69.34,121.02,0,0.154,0.05,1,66.34
S04174,67.04,63.06,69.27,120.87,0,0.156,0.05,1,65.84
S04175,67.06,62.86,69.41,121.1,0,0.156,0.05,1,65.93
S04350,67.54,64.27,70.48,121.37,0,0.154,0.05,1,66.95
S04351,66.93,64.27,69.54,119.78,0,0.156,0.05,1,65.87
S04352,67.27,65.1,68.97,119.78,0,0.155,0.05,1,65.9
S04353,67.22,65.1,69.22,119.73,0,0.155,0.05,1,65.99
S04354,66.94,65.13,68.97,119.0,0,0.156,0.05,1,65.59
S04355,67.98,64.04,70.54,122.56,0,0.152,0.05,1,67.4
S04356,68.22,64.04,71.29,123.28,0,0.151,0.05,1,68.03
S04357,67.72,64.04,69.77,121.79,0,0.153,0.05,1,66.75
S04360,43.55,40.49,45.89,94.7,0,0.294,0.05,0,34.69
S04361,41.04,38.06,43.46,92.26,0,0.317,0.05,0,31.83
S04362,43.72,40.97,45.79,94.75,0,0.293,0.05,0,34.77
S04363,43.7,40.97,45.83,94.69,0,0.293,0.05,0,34.77
S04364,43.86,41.07,46.21,95.08,0,0.292,0.05,0,35.05
S04365,65.23,63.45,66.89,115.91,0,0.164,0.05,1,62.89
S04366,65.19,63.25,66.95,115.97,0,0.164,0.05,1,62.89
